nombre,codigo,creditos,promedioAprobado,competencias
Astronomia 103,Ast103,9,78.44,"Adaptabilidad;Pensamiento critico;Gestion del tiempo;Habilidades analiticas;Toma de decisiones informada"
Astronomia 301,Ast301,10,3.51,"Pensamiento critico;Toma de decisiones informada;Gestion del tiempo;Habilidades analiticas;Adaptabilidad"
Derecho 102,Der102,4,96.47,"Toma de decisiones informada;Pensamiento critico;Habilidades analiticas;Adaptabilidad;Gestion del tiempo"
Danza 102,Dan102,8,16.43,"Adaptabilidad;Pensamiento critico;Habilidades analiticas;Toma de decisiones informada;Gestion del tiempo"
Literatura 201,Lit201,5,97.56,"Gestion del tiempo;Pensamiento critico;Adaptabilidad;Habilidades analiticas;Toma de decisiones informada"
Astronomia 302,Ast302,4,30.74,"Pensamiento critico;Habilidades analiticas;Adaptabilidad;Toma de decisiones informada;Gestion del tiempo"
Educacion 202,Edu202,2,42.25,"Habilidades analiticas;Gestion del tiempo;Adaptabilidad;Pensamiento critico;Toma de decisiones informada"
Antropologia 202,Ant202,10,5.54,"Adaptabilidad;Pensamiento critico;Gestion del tiempo;Toma de decisiones informada;Habilidades analiticas"
Arqueologia 202,Arq202,6,65.09,"Habilidades analiticas;Pensamiento critico;Adaptabilidad;Gestion del tiempo;Toma de decisiones informada"
Ecologia 302,Eco302,4,11.47,"Adaptabilidad;Pensamiento critico;Gestion del tiempo;Toma de decisiones informada;Habilidades analiticas"
Comunicacion 303,Com303,7,45.27,"Adaptabilidad;Pensamiento critico;Habilidades analiticas;Toma de decisiones informada;Gestion del tiempo"
Escultura 101,Esc101,2,47.58,"Habilidades analiticas;Toma de decisiones informada;Gestion del tiempo;Pensamiento critico;Adaptabilidad"
Ecologia 202,Eco202,8,12.33,"Toma de decisiones informada;Habilidades analiticas;Adaptabilidad;Pensamiento critico;Gestion del tiempo"
Antropologia 201,Ant201,6,8.58,"Habilidades analiticas;Gestion del tiempo;Adaptabilidad;Pensamiento critico;Toma de decisiones informada"
Teatro 202,Tea202,2,79.11,"Adaptabilidad;Toma de decisiones informada;Gestion del tiempo;Habilidades analiticas;Pensamiento critico"
Ecologia 102,Eco102,10,71.39,"Pensamiento critico;Adaptabilidad;Gestion del tiempo;Toma de decisiones informada;Habilidades analiticas"
Comunicacion 302,Com302,4,21.44,"Toma de decisiones informada;Habilidades analiticas;Adaptabilidad;Pensamiento critico;Gestion del tiempo"
Ecologia 301,Eco301,2,60.88,"Adaptabilidad;Gestion del tiempo;Toma de decisiones informada;Pensamiento critico;Habilidades analiticas"
Ecologia 201,Eco201,3,53.64,"Adaptabilidad;Habilidades analiticas;Toma de decisiones informada;Pensamiento critico;Gestion del tiempo"
Teatro 101,Tea101,7,58.29,"Pensamiento critico;Adaptabilidad;Gestion del tiempo;Toma de decisiones informada;Habilidades analiticas"
Astronomia 303,Ast303,4,76.72,"Adaptabilidad;Pensamiento critico;Gestion del tiempo;Toma de decisiones informada;Habilidades analiticas"
Biologia 102,Bio102,2,95.17,"Adaptabilidad;Gestion del tiempo;Pensamiento critico;Habilidades analiticas;Toma de decisiones informada"
Geologia 201,Geo201,2,95.73,"Adaptabilidad;Habilidades analiticas;Toma de decisiones informada;Gestion del tiempo;Pensamiento critico"
Educacion 103,Edu103,7,57.69,"Pensamiento critico;Adaptabilidad;Gestion del tiempo;Toma de decisiones informada;Habilidades analiticas"
